,Game,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestofWorld,Global
220,DiRT 4,2017,Racing,Codemasters,0.1,0.3,0.02,0.07,0.49
221,Farpoint,2017,Shooter,Sony Interactive Entertainment,0.0,0.38,0.04,0.06,0.48
222,Battleborn,2016,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48
223,A Way Out,2018,Action,Electronic Arts,0.23,0.16,0.0,0.08,0.48
224,Friday the 13th: The Game,2017,Action,Gun Media,0.29,0.09,0.03,0.08,0.48
225,The Walking Dead: A Telltale Games Series,2014,Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48
226,Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48
227,Deadpool,2015,Action,Activision,0.26,0.13,0.0,0.08,0.47
228,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016,Action,Square Enix,0.05,0.09,0.3,0.03,0.47
229,TrackMania Turbo,2016,Racing,Ubisoft,0.04,0.35,0.0,0.07,0.47
230,Knack 2,2017,Platform,Sony Interactive Entertainment,0.14,0.25,0.01,0.07,0.47
231,Just Dance 2014,2013,Music,Ubisoft,0.21,0.18,0.0,0.08,0.47
232,Dissidia Final Fantasy NT,2018,Fighting,Square Enix,0.19,0.06,0.16,0.05,0.46
233,Skylanders: SuperChargers,2015,Action-Adventure,Activision,0.29,0.09,0.0,0.08,0.45
234,Yakuza Kiwami,2016,Adventure,Sega,0.13,0.07,0.21,0.04,0.45
235,Tales of Zestiria,2015,Role-Playing,Namco Bandai Games,0.18,0.16,0.04,0.07,0.45
236,Star Ocean 5: Integrity and Faithlessness,2016,Role-Playing,Square Enix,0.1,0.13,0.16,0.05,0.45
237,Sleeping Dogs,2014,Action,Square Enix,0.16,0.21,0.0,0.07,0.44
238,Skylanders SWAP Force,2013,Misc,Activision,0.23,0.14,0.0,0.08,0.44
239,Skylanders Imaginators,2016,Platform,Activision,0.18,0.18,0.0,0.07,0.43
240,Trials Fusion,2014,Misc,Ubisoft,0.13,0.23,0.01,0.07,0.43
241,Saints Row IV,2015,Action,Deep Silver,0.15,0.18,0.03,0.06,0.42
242,Dishonored,2015,Action,Bethesda Softworks,0.12,0.21,0.02,0.06,0.42
243,Mirror's Edge 2,2016,Platform,Electronic Arts,0.13,0.19,0.03,0.06,0.42
244,Farming Simulator 2015,2015,Simulation,Koch Media,0.13,0.22,0.0,0.07,0.41
245,Just Dance 2015,2014,Music,Ubisoft,0.21,0.13,0.0,0.07,0.41
246,Sword Art Online: Hollow Realization,2016,Role-Playing,Namco Bandai Games,0.18,0.06,0.12,0.05,0.41
247,Just Dance 2016,2015,Music,Ubisoft,0.19,0.13,0.0,0.07,0.39
248,Batman: Arkham VR,2016,Action,Warner Bros. Interactive Entertainment,0.32,0.0,0.0,0.07,0.39
249,Little Nightmares,2017,Platform,Namco Bandai Games,0.18,0.12,0.02,0.06,0.39
250,Tropico 5,2015,Simulation,Kalypso Media,0.07,0.18,0.08,0.05,0.38
251,Life is Strange,2016,Adventure,Square Enix,0.11,0.16,0.05,0.05,0.37
252,Resident Evil Zero,2016,Action-Adventure,Capcom,0.07,0.18,0.07,0.05,0.37
253,Yakuza Kiwami 2,2017,Action,Sega,0.08,0.06,0.19,0.03,0.37
254,Vampyr,2018,Role-Playing,Focus Home Interactive,0.12,0.19,0.0,0.06,0.37
255,Okami,2017,Action,Capcom,0.16,0.12,0.03,0.06,0.36
256,Sniper: Ghost Warrior 3,2017,Shooter,City Interactive,0.14,0.15,0.03,0.06,0.36
257,Hokuto ga Gotoku,2018,Action,Sega,0.09,0.05,0.18,0.03,0.36
258,Sword Art Online: Lost Song,2015,Role-Playing,Namco Bandai Games,0.19,0.11,0.0,0.06,0.36
259,Disgaea 5: Alliance of Vengeance,2015,Role-Playing,NIS America,0.15,0.08,0.07,0.05,0.35
260,Dead or Alive 5,2015,Fighting,Tecmo Koei,0.09,0.13,0.09,0.04,0.35
261,Gravity Rush 2,2017,Action-Adventure,Sony Interactive Entertainment,0.13,0.05,0.13,0.04,0.35
262,Odin Sphere: Leifthrasir,2016,Role-Playing,NIS America,0.14,0.07,0.09,0.04,0.34
263,Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.13,0.13,0.04,0.05,0.34
264,The King of Fighters XIV,2016,Fighting,Deep Silver,0.21,0.02,0.06,0.05,0.34
265,Dishonored: Death of the Outsider,2017,Action,Bethesda Softworks,0.1,0.18,0.0,0.05,0.33
266,Valkyria Chronicles,2016,Role-Playing,Sega,0.14,0.08,0.08,0.04,0.33
267,Murdered: Soul Suspect,2014,Action-Adventure,Square Enix,0.09,0.17,0.02,0.05,0.33
268,Payday 2,2015,Shooter,505 Games,0.12,0.14,0.0,0.05,0.32
269,UEFA Euro 2016,2016,Sports,Konami Digital Entertainment,0.0,0.22,0.05,0.04,0.31
270,DmC: Devil May Cry,2015,Action,Capcom,0.12,0.13,0.0,0.05,0.31
271,Sonic Mania,2017,Platform,Sega,0.1,0.15,0.01,0.05,0.31
272,J Stars Victory Vs.,2015,Fighting,Namco Bandai Games,0.11,0.14,0.0,0.05,0.31
273,XCOM 2,2016,Strategy,2K Games,0.16,0.1,0.0,0.05,0.31
274,Dynasty Warriors 8: Xtreme Legends,2014,Misc,Tecmo Koei,0.09,0.12,0.06,0.04,0.31
275,Cities: Skylines,2017,Simulation,Koch Media,0.15,0.07,0.04,0.05,0.3
276,Saint Seiya: Soldiers' Soul,2015,Fighting,Namco Bandai Games,0.0,0.21,0.05,0.04,0.3
